"";"Group_HS"
"J1-D1-1D-T1";"1"
"J3-D2-1D-T8";"2"
"J3-D3-1D-T9";"3"
"J3-D4-1D-T14";"4"
"J4-D1-1D-T4";"1"
"J4-D2-1D-T7";"2"
"J4-D3-1D-T10";"3"
"J4-D4-1D-T13";"4"
"J5-D1-1D-T1";"1"
"J5-D2-1D-T6";"2"
"J5-D3-1D-T11";"3"
"J5-D4-1D-T16";"4"
"J1-D2-1D-T6";"2"
"J6-D1-1D-T2";"1"
"J6-D2-1D-T5";"2"
"J6-D3-1D-T12";"3"
"J6-D4-1D-T15";"4"
"J7-D1-1D-T3";"1"
"J7-D2-1D-T8";"2"
"J7-D3-1D-T9";"3"
"J7-D4-1D-T14";"4"
"J8-D1-1D-T4";"1"
"J8-D2-1D-T7";"2"
"J8-D3-1D-T10";"3"
"J1-D3-1D-T11";"3"
"J8-D4-1D-T13";"4"
"J1-D4-1D-T16";"4"
"J2-D1-1D-T2";"1"
"J2-D2-1D-T5";"2"
"J2-D3-1D-T12";"3"
"J2-D4-1D-T15";"4"
"J3-D1-1D-T3";"1"
